100822,4267,18975,4846,19093,17958,22,71,145,422,15,1004,111,644,66,12196
4838,120834,2445,43,27808,111,437,11,430,14,198,43,19111,168,772,83
19492,1996,83549,3586,23675,16353,375,111,8187,1266,61,9441,940,17160,2800,229
5642,45,4580,83468,219,25586,3,12497,116,19450,3,4156,5,1037,32,27526
18354,28466,23701,205,84586,610,2523,6,6799,50,244,284,9550,3100,10028,135
17333,72,16324,25685,621,90239,13,2118,361,15041,11,14505,5,3304,102,14957
22,495,213,6,2521,14,130990,3,2614,7,24114,49,17305,259,30290,2
50,4,132,13300,10,1768,1,116153,272,38170,5,6641,1,1867,23,2210
173,277,8838,71,6232,275,3646,121,86658,481,311,5489,888,39977,35548,10
273,14,1443,20267,55,14021,8,40298,1238,91148,9,32580,4,6836,113,1972
18,171,75,2,196,9,22854,7,219,17,162446,39,11154,98,1169,1
727,43,8612,4126,423,15055,59,5629,7776,36352,28,84504,22,35918,1163,181
75,20201,667,6,9521,25,16425,2,1056,12,10262,20,114113,127,6161,2
618,131,16602,849,2913,3564,592,961,35811,5386,70,41135,255,75444,7237,43
77,732,2727,27,10710,66,31143,21,37169,70,1234,400,5627,5444,95421,2
12243,65,245,27604,156,14841,2,2303,5,2051,2,159,2,49,3,136992
